year,country,broadcaster,artist,artistWikiUrl,song,songWikiUrl,language,songwriters,conductors,youtube_url
1989,es,TVE,Nina,https://en.wikipedia.org/wiki/Nina_(Spanish_singer),Nacida para amar,https://en.wikipedia.org/wiki/Nacida_para_amar,Spanish,Juan Carlos Calderón,Juan Carlos Calderón,Vq7sKwxmK7g
1989,se,SVT,Tommy Nilsson,https://en.wikipedia.org/wiki/Tommy_Nilsson,En dag,,Swedish,Alexander Bard|Ola Håkansson|Tim Norell,Anders Berglund,7dl1zoGU9sc
1989,ch,SRG SSR,Furbaz,https://en.wikipedia.org/wiki/Furbaz,Viver senza tei,,Romansh,Marie Louise Werth,Benoît Kaufman,It1OltnpM-A
1989,tr,TRT,Pan,,Bana Bana,,Turkish,Timur Selçuk,Timur Selçuk,mNXi912U6co
1989,gb,BBC,Live Report,https://en.wikipedia.org/wiki/Live_Report,Why Do I Always Get It Wrong,https://en.wikipedia.org/wiki/Why_Do_I_Always_Get_It_Wrong,English,John Beeby|Brian Hodgson,Ronnie Hazlehurst,_hnmh92X82A
1989,yu,JRT,Riva,https://en.wikipedia.org/wiki/Riva_(band),Rock Me,https://en.wikipedia.org/wiki/Rock_Me_(Riva_song),Serbo-Croatian,Stevo Cvikić|Rajko Dujmić,Nikica Kalogjera,FcxeIpv1Gdk
1990,at,ORF,Simone,https://en.wikipedia.org/wiki/Simone_Stelzer,Keine Mauern mehr,,German,Mario Botazzi|Nanna Berry|Wolfgang Berry,Richard Oesterreicher,pq3ndrZzaf0
1990,be,RTBF,Philippe Lafontaine,https://en.wikipedia.org/wiki/Philippe_Lafontaine,Macédomienne,,French,Philippe Lafontaine,Rony Brack,zDBo1S0ZDnQ
1990,cy,CyBC,Anastasiou,,"Milas poli"" (Μιλάς πολύ)",,Greek,Haris Anastasiou|John Vickers,Stanko Selak,fGFb9Dngosg
1990,dk,DR,Lonnie Devantier,https://en.wikipedia.org/wiki/Lonnie_Kjer,Hallo Hallo,,Danish,John Hatting|Keld Heick|Torben Lendager,Henrik Krogsgaard,Lsp0S79f1ko
1990,fi,YLE,Beat,https://en.wikipedia.org/wiki/Beat_(band),Fri?,,Swedish,Janne Engblom|Kim Engblom|Stina Engblom|Tina Krause,Olli Ahvenlahti,7EEw7xAvjjE
1990,fr,Antenne 2,Joëlle Ursull,https://en.wikipedia.org/wiki/Jo%C3%ABlle_Ursull,White and Black Blues,https://en.wikipedia.org/wiki/White_and_Black_Blues,French,Georges Augier de Moussac|Serge Gainsbourg,Régis Dupré,T_dZvcPAnDc
1990,de,BR,Chris Kempers,https://en.wikipedia.org/wiki/Chris_Kempers,Frei zu leben,,German,Michael Kunze|Ralph Siegel,Rainer Pietsch,hr0G7jJzjnA
1990,gr,ERT,Christos Callow,https://en.wikipedia.org/wiki/Christos_Callow,"Horis skopo"" (Χωρίς σκοπό)",,Greek,Giorgos Palaiokastriris|Giorgos Papagiannakis,Mihalis Rozakis,Xg9UMgQnh9E
1990,is,RÚV,Stjórnin,https://en.wikipedia.org/wiki/Stj%C3%B3rnin,Eitt lag enn,,Icelandic,Aðalsteinn Ásberg Sigurðsson|Hörður G. Ólafsson,Jon Kjell Seljeseth,ybH_XhW6Rkk
1990,ie,RTÉ,Liam Reilly,https://en.wikipedia.org/wiki/Liam_Reilly,Somewhere in Europe,,English,Liam Reilly,Noel Kelehan,CmDwr5xsysw
1990,il,IBA,Rita,https://en.wikipedia.org/wiki/Rita_(Israeli_singer),"Shara Barkhovot"" (שרה ברחובות)",,Hebrew,Rami Kleinstein|Tzruya Lahav,Rami Levin,e1djiCFrqGE
1990,it,RAI,Toto Cutugno,https://en.wikipedia.org/wiki/Toto_Cutugno,Insieme: 1992,https://en.wikipedia.org/wiki/Insieme:_1992,Italian,Salvatore Cutugno,Gianni Madonini,enjaeemoBYE
1990,lu,CLT,Céline Carzo,https://en.wikipedia.org/wiki/C%C3%A9line_Carzo,Quand je te rêve,,French,Thierry Delianis|Jean-Charles France,Thierry Durbet,U19ABsr7Ruw
1990,nl,NOS,Maywood,https://en.wikipedia.org/wiki/Maywood_(duo),Ik wil alles met je delen,,Dutch,Alice May,Harry van Hoof,wa4UjvbF3so
1990,no,NRK,Ketil Stokkan,https://en.wikipedia.org/wiki/Ketil_Stokkan,Brandenburger Tor,,Norwegian,Ketil Stokkan,Pete Knutsen,Ip1BpdO9G5Y
1990,pt,RTP,Nucha,https://en.wikipedia.org/wiki/Nucha_(singer),Há sempre alguém,,Portuguese,Luís Filipe|Francisco Teotónio Pereira|Frederico Teotónio Pereira|Jan van Dijck,Carlos Alberto Moniz,YcLSud2JUsE
1990,es,TVE,Azúcar Moreno,https://en.wikipedia.org/wiki/Az%C3%BAcar_Moreno,Bandido,https://en.wikipedia.org/wiki/Bandido_(Az%C3%BAcar_Moreno_song),Spanish,José Luis Abel|Raúl Orellana|Jaime Stinus,Eduardo Leiva,44_UtU44Xbs
1990,se,SVT,Edin-Ådahl,https://en.wikipedia.org/wiki/Edin-%C3%85dahl,Som en vind,,Swedish,Mikael Wendt,Curt-Eric Holmquist,3TIXDUyDcBw
1990,ch,SRG SSR,Egon Egemann,https://en.wikipedia.org/wiki/Egon_Egemann,Musik klingt in die Welt hinaus,,German,Cornelia Lackner,Bela Balint,rJzFwpqMmMM
1990,tr,TRT,Kayahan,https://en.wikipedia.org/wiki/Kayahan,Gözlerinin Hapsindeyim,,Turkish,Kayahan Açar,Ümit Eroğlu,d-4mStIyWkk
1990,gb,BBC,Emma,https://en.wikipedia.org/wiki/Emma_(Welsh_singer),Give a Little Love Back to the World,https://en.wikipedia.org/wiki/Give_a_Little_Love_Back_to_the_World,English,Paul Curtis,Alyn Ainsworth,ObKX1lmFebI
1990,yu,JRT,Tajči,https://en.wikipedia.org/wiki/Taj%C4%8Di,"Hajde da ludujemo"" (Хајде да лудујемо)",,Serbo-Croatian,Alka Vuica|Zrinko Tutić,Stjepan Mihaljinec,SoWuOi8sAZk
